ticker,quarter,date,prev_quarter,is_shift_event,max_z_score,sentiment_overall,lm_uncertainty,fls_hedging_count,return_1d,return_3d,return_7d,sentiment_overall_delta,sentiment_overall_zscore,lm_uncertainty_delta,lm_uncertainty_zscore,fls_hedging_count_delta,fls_hedging_count_zscore
META,2021-Q3,2021-10-25,2021-Q1,False,1.3853,0.1882364853673463,0.0057306590257879,13,-0.039185713015772,-0.0358087894709754,0.0089141124674243,-0.044005,-0.891,0.000968,0.8147,9,1.3853
META,2021-Q4,2022-02-02,2021-Q3,False,0.937,0.161890850513527,0.0068816762530813,16,-0.2639008380682238,-0.3036841064324076,-0.3202785923851401,-0.026346,-0.4457,0.001151,0.937,3,0.4156
META,2022-Q1,2022-04-27,2021-Q4,False,0.4131,0.1670142334081122,0.0072478562678644,17,0.1759362292327162,0.2068021202422906,0.1647329738884888,0.005123,0.3477,0.000366,0.4131,1,0.0924
META,2022-Q2,2022-07-27,2022-Q1,False,1.3622,0.165971992753285,0.0063227619429947,9,-0.0522465643607634,-0.0569054670963974,-0.0145653510545875,-0.001042,0.1922,-0.000925,-0.4488,-8,-1.3622
MSFT,2021-Q3,2021-04-27,2021-Q2,False,0.6141,0.326155134206204,0.0083352899741723,1,-0.0282856200429204,-0.0373706929989656,-0.0467228507956031,-0.055606,-0.6141,-0.000312,-0.227,1,0.4183
MSFT,2021-Q4,2021-07-27,2021-Q3,False,0.7682,0.3470015657057456,0.0076998288926912,2,-0.0011167786102955,-0.0056884284018117,0.0103997170458398,0.020846,0.7682,-0.000635,-0.4495,1,0.4183
MSFT,2022-Q1,2021-10-26,2021-Q4,False,1.255,0.3151707055752174,0.0073062642232602,1,0.0421141039151574,0.069362249819214,0.084905293307199,-0.031831,-0.1842,-0.000394,-0.2832,-1,-1.255
MSFT,2022-Q2,2022-01-25,2022-Q1,False,1.3193,0.3664962759171173,0.0067420866186721,1,0.0284929867690704,0.0685290815820573,0.044230171822925,0.051326,1.3193,-0.000564,-0.4005,0,-0.4183
MSFT,2022-Q3,2022-04-26,2022-Q2,True,1.749,0.2520837002449622,0.0093038528896672,1,0.0481088864486637,0.0270153241523687,0.0263858363373709,-0.114413,-1.6774,0.002562,1.749,0,-0.4183
MSFT,2022-Q4,2022-07-26,2022-Q3,False,1.4735,0.2035354516147289,0.0071792496526169,1,0.0668518757416613,0.1144896322796051,0.1260422305428171,-0.048548,-0.4865,-0.002125,-1.4735,0,-0.4183
MSFT,2023-Q1,2022-10-25,2022-Q4,True,2.0917,0.2416142907656603,0.0088388023422826,4,-0.0771564704198958,-0.0590042768680004,-0.145256515601785,0.038079,1.0798,0.00166,1.1286,3,2.0917
MSFT,2023-Q2,2023-01-24,2023-Q1,False,0.4183,0.2086240031762796,0.0087935279634189,4,-0.0059082629634426,0.0252850260386171,0.0932077296398742,-0.03299,-0.2052,-4.5e-05,-0.0437,0,-0.4183
NVDA,2019-Q3,2019-11-14,2020-Q2,False,0.6843,0.1976016145530184,0.0081353305785123,0,-0.0266934260498006,-0.0085798437466012,0.0544355240407631,-0.05376,-0.6843,0.001224,0.4538,0,-0.0857
NVDA,2021-Q4,2021-02-24,2019-Q3,False,1.4071,0.2733502140740553,0.0054872957175235,0,-0.0821781931996814,-0.0453306625943305,-0.1405269933757254,0.075749,1.4071,-0.002648,-1.2745,0,-0.0857
NVDA,2022-Q2,2021-08-18,2021-Q4,True,1.643,0.2408516666262733,0.0093757417517208,0,0.0398113302837547,0.153256442234232,0.188865807926341,-0.032499,-0.341,0.003888,1.643,0,-0.0857
NVDA,2021-Q3,2021-11-17,2022-Q2,False,0.6002,0.2385667268959243,0.0099058940069341,1,0.082498667925548,0.0921019497964214,0.140631200466084,-0.002285,0.1469,0.00053,0.144,1,0.6002
NVDA,2022-Q4,2022-02-16,2021-Q3,False,0.9264,0.2845526741454741,0.0086597938144329,1,-0.0755911193772967,-0.1177246603264542,-0.0801931980586478,0.045986,0.9264,-0.001246,-0.6488,0,-0.0857
NVDA,2023-Q1,2022-05-25,2022-Q4,False,1.2862,0.2098933641843924,0.0074791564492398,3,0.0516052305283378,0.0999703386515512,0.1066861857475813,-0.074659,-1.0218,-0.001181,-0.6196,2,1.2862
NVDA,2023-Q2,2022-08-24,2023-Q1,False,1.3162,0.117004802458853,0.0100282849061455,4,0.0401228648270591,-0.0825107309824915,-0.2075835419258473,-0.092889,-1.3162,0.002549,1.0452,1,0.6002
NVDA,2023-Q3,2022-11-16,2023-Q2,True,2.1437,0.1602911211550235,0.0085706751054852,1,-0.0146448036266742,-0.0372720236696547,-0.0052168552958571,0.043286,0.8828,-0.001458,-0.7432,-3,-2.1437
PFE,2021-Q1,2021-05-04,2020-Q4,False,1.1759,0.2412171075864209,0.0133238585894475,5,0.0005006995084687,0.0005008220787278,0.0136451340955405,-0.042397,-0.9971,7.2e-05,0.1429,3,1.1759
PFE,2021-Q2,2021-07-28,2021-Q1,False,1.069,0.2417989610183257,0.014065152372484,2,-0.0062703176840434,0.0209011705441149,0.0466789200505758,0.000582,0.3566,0.000741,0.7232,-3,-1.069
PFE,2021-Q3,2021-11-02,2021-Q2,False,1.389,0.2356153065624891,0.0123718628490632,2,-0.0138612745474828,0.0789150181499572,0.1137618999235474,-0.006184,0.1435,-0.001693,-1.389,0,0.0535
